Action,Details
Change,Updated international-1941 (more complete data)
Change,Updated north-american-1941 (more complete data)
Change,Updated international-1945 (more complete data)
Change,Updated international-1946 (more complete data)
Change,Updated international-1947 (more complete data)
Change,Updated international-1948 (more complete data)
Change,Updated international-1949 (more complete data)
Change,Updated international-1950 (more complete data)
Change,Updated international-1951 (more complete data)
Change,Updated international-1952 (more complete data)
Change,Updated international-1953 (more complete data)
Change,Updated international-1954 (more complete data)
Change,Updated international-1955 (more complete data)
Change,Updated international-1956 (more complete data)
Change,Updated international-1957 (more complete data)
Change,Updated international-1958 (more complete data)
Change,Updated international-1959 (more complete data)
Change,Updated international-1960 (more complete data)
Change,Updated international-1961 (more complete data)
Change,Updated international-1962 (more complete data)
Change,Updated international-1963 (more complete data)
Change,Updated international-1964 (more complete data)
Change,Added international-1965
Change,Updated north-american-1965 (more complete data)
Change,Updated international-1966 (more complete data)
Change,Updated international-1967 (more complete data)
Change,Updated international-1968 (more complete data)
Change,Updated international-1969 (more complete data)
Change,Added international-1970
Change,Updated north-american-1970 (more complete data)
Change,Updated international-1971 (more complete data)
Change,Updated international-1972 (more complete data)
Change,Added international-1973
Change,Updated north-american-1973 (more complete data)
Change,Updated international-1974 (more complete data)
Change,Updated international-1975 (more complete data)
Change,Added international-1976
Change,Updated north-american-1976 (more complete data)
Change,Updated international-1977 (more complete data)
Change,Updated international-1978 (more complete data)
Change,Added international-1979
Change,Updated north-american-1979 (more complete data)
Change,Updated international-1980 (more complete data)
Change,Updated international-1981 (more complete data)
Change,Added international-1982
Change,Updated north-american-1982 (more complete data)
Change,Updated international-1983 (more complete data)
Change,Updated international-1984 (more complete data)
Change,Added international-1985
Change,Updated north-american-1985 (more complete data)
Change,Updated international-1986 (more complete data)
Change,Updated international-1987 (more complete data)
Change,Added international-1988
Change,Updated north-american-1988 (more complete data)
Change,Updated international-1989 (more complete data)
Change,Updated international-1990 (more complete data)
Change,Added international-1991
Change,Kept existing north-american-1991
Change,Updated international-1992 (more complete data)
Change,Updated international-1993 (more complete data)
Change,Added international-1994
Change,Updated north-american-1994 (more complete data)
Change,Updated international-1995 (more complete data)
Change,Updated international-1996 (more complete data)
Change,Added international-1997
Change,Updated north-american-1997 (more complete data)
Change,Updated international-1998 (more complete data)
Change,Updated international-1999 (more complete data)
Change,Updated international-2000 (more complete data)
Change,Updated international-2001 (more complete data)
Change,Updated international-2002 (more complete data)
Change,Updated international-2003 (more complete data)
Change,Updated international-2004 (more complete data)
Change,Updated international-2005 (more complete data)
Change,Updated international-2006 (more complete data)
Change,Updated international-2007 (more complete data)
Change,Updated international-2008 (more complete data)
Change,Updated international-2009 (more complete data)
Change,Updated international-2010 (more complete data)
Change,Updated international-2011 (more complete data)
Change,Updated international-2012 (more complete data)
Change,Updated international-2013 (more complete data)
Change,Updated international-2016 (more complete data)
Change,Updated international-2017 (more complete data)
Change,Updated international-2018 (more complete data)
Change,Updated international-2019 (more complete data)
Change,Updated international-2021 (more complete data)
Change,Updated international-2022 (more complete data)
Change,Updated international-2023 (more complete data)
Change,Skipped international-1941 (exists)
Change,Created 1941-north-american-championship.md
Change,Skipped international-1945 (exists)
Change,Skipped international-1946 (exists)
Change,Skipped international-1947 (exists)
Change,Skipped international-1948 (exists)
Change,Skipped international-1949 (exists)
Change,Skipped international-1950 (exists)
Change,Skipped international-1951 (exists)
Change,Skipped international-1952 (exists)
Change,Skipped international-1953 (exists)
Change,Skipped international-1954 (exists)
Change,Skipped international-1955 (exists)
Change,Skipped international-1956 (exists)
Change,Skipped international-1957 (exists)
Change,Skipped international-1958 (exists)
Change,Skipped international-1959 (exists)
Change,Skipped international-1960 (exists)
Change,Skipped international-1961 (exists)
Change,Skipped international-1962 (exists)
Change,Skipped international-1963 (exists)
Change,Skipped international-1964 (exists)
Change,Skipped international-1965 (exists)
Change,Skipped north-american-1965 (exists)
Change,Skipped international-1966 (exists)
Change,Skipped international-1967 (exists)
Change,Skipped international-1968 (exists)
Change,Skipped international-1969 (exists)
Change,Skipped international-1970 (exists)
Change,Skipped north-american-1970 (exists)
Change,Skipped international-1971 (exists)
Change,Skipped international-1972 (exists)
Change,Skipped international-1973 (exists)
Change,Skipped north-american-1973 (exists)
Change,Skipped international-1974 (exists)
Change,Skipped international-1975 (exists)
Change,Skipped international-1976 (exists)
Change,Skipped north-american-1976 (exists)
Change,Skipped international-1977 (exists)
Change,Skipped international-1978 (exists)
Change,Skipped international-1979 (exists)
Change,Skipped north-american-1979 (exists)
Change,Skipped international-1980 (exists)
Change,Skipped international-1981 (exists)
Change,Skipped international-1982 (exists)
Change,Skipped north-american-1982 (exists)
Change,Skipped international-1983 (exists)
Change,Skipped international-1984 (exists)
Change,Skipped international-1985 (exists)
Change,Skipped north-american-1985 (exists)
Change,Skipped international-1986 (exists)
Change,Skipped international-1987 (exists)
Change,Skipped international-1988 (exists)
Change,Skipped north-american-1988 (exists)
Change,Skipped international-1989 (exists)
Change,Skipped international-1990 (exists)
Change,Skipped international-1991 (exists)
Change,Skipped north-american-1991 (exists)
Change,Skipped international-1992 (exists)
Change,Skipped international-1993 (exists)
Change,Skipped international-1994 (exists)
Change,Skipped north-american-1994 (exists)
Change,Skipped international-1995 (exists)
Change,Skipped international-1996 (exists)
Change,Skipped international-1997 (exists)
Change,Skipped north-american-1997 (exists)
Change,Skipped international-1998 (exists)
Change,Skipped international-1999 (exists)
Change,Skipped international-2000 (exists)
Change,Skipped international-2001 (exists)
Change,Skipped international-2002 (exists)
Change,Skipped international-2003 (exists)
Change,Skipped international-2004 (exists)
Change,Skipped international-2005 (exists)
Change,Skipped international-2006 (exists)
Change,Created 2007-international-championship.md
Change,Created 2008-international-championship.md
Change,Created 2009-international-championship.md
Change,Created 2010-international-championship.md
Change,Created 2011-international-championship.md
Change,Created 2012-international-championship.md
Change,Skipped international-2013 (exists)
Change,Created 2016-international-championship.md
Change,Created 2017-international-championship.md
Change,Created 2018-international-championship.md
Change,Skipped international-2019 (exists)
Change,Created 2021-international-championship.md
Change,Created 2022-international-championship.md
Change,Skipped international-2023 (exists)
